Hour of day,Year,Day,Day of Year,Hour,Latitude,Longitude,Month,Ne/cm-3,O+,N+,hmF2,Tec,foF2
2,2023,5,125,0,37.5402,137.3053,5,281630,974,21,293.5,15.88,10.847
2.2,2023,5,125,0,37.5402,137.3053,5,290608,974,22,295.7,15.83,10.938
2.5,2023,5,125,0,37.5402,137.3053,5,299152,974,22,297.7,15.76,11.025
2.8,2023,5,125,0,37.5402,137.3053,5,306996,973,23,299.5,15.66,11.103
3,2023,5,125,0,37.5402,137.3053,5,313902,973,23,301,15.58,11.172
3.2,2023,5,125,0,37.5402,137.3053,5,319670,972,24,302.2,15.41,11.23
3.5,2023,5,125,0,37.5402,137.3053,5,324161,972,24,303.1,15.23,11.275
3.8,2023,5,125,0,37.5402,137.3053,5,327291,971,25,303.7,15.05,11.309
4,2023,5,125,0,37.5402,137.3053,5,329045,971,26,304,14.87,11.33
4.2,2023,5,125,0,37.5402,137.3053,5,329474,970,26,304,14.72,11.341
4.5,2023,5,125,0,37.5402,137.3053,5,328666,969,27,303.7,14.59,11.343
4.8,2023,5,125,0,37.5402,137.3053,5,326755,969,28,303.1,14.5,11.336
5,2023,5,125,0,37.5402,137.3053,5,323903,968,28,302.3,14.43,11.321
5.2,2023,5,125,0,37.5402,137.3053,5,320273,967,29,301.4,14.39,11.3
5.5,2023,5,125,0,37.5402,137.3053,5,316035,967,30,300.3,14.27,11.273
5.8,2023,5,125,0,37.5402,137.3053,5,311346,966,30,299,14.25,11.241
6,2023,5,125,0,37.5402,137.3053,5,306347,966,31,297.8,14.21,11.202
