Day,Hour of day,Latitude,Longitude,Ne/cm-3,O+,N+,hmF2,foF2,Tec
2023-05-01,20:30,37.5402,137.3053,173551,964,21,288.3,7.941,6.91
2023-05-01,20:45,37.5402,137.3053,176353,966,21,284.3,8.215,7.78
2023-05-01,21:00,37.5402,137.3053,179458,967,21,280.5,8.495,8.68
2023-05-01,21:20,37.5402,137.3053,182691,968,21,277.1,8.774,9.61
2023-05-01,21:30,37.5402,137.3053,185919,968,20,274.2,9.042,10.55
2023-05-01,21:45,37.5402,137.3053,189066,969,20,271.6,9.293,11.47
2023-05-01,22:00,37.5402,137.3053,192099,970,20,269.5,9.521,12.35
2023-05-01,22:20,37.5402,137.3053,195029,970,20,268.0,9.722,13.17
2023-05-01,22:30,37.5402,137.3053,197908,971,20,266.9,9.895,13.92
2023-05-01,22:45,37.5402,137.3053,200814,971,20,266.3,10.04,14.58
2023-05-01,23:00,37.5402,137.3053,203851,972,20,266.1,10.16,15.14
2023-05-01,23:20,37.5402,137.3053,207139,972,20,266.5,10.26,15.6
2023-05-01,23:30,37.5402,137.3053,210801,972,20,267.3,10.342,15.98
2023-05-01,23:45,37.5402,137.3053,214958,973,20,268.6,10.414,16.27
2023-05-01,00:00,37.5402,137.3053,219722,973,20,270.2,10.479,16.35
2023-05-02,01:00,37.5402,137.3053,246307,974,20,280.5,10.688,16.64
2023-05-02,01:20,37.5402,137.3053,254750,974,20,283.2,10.77,16.66
2023-05-02,01:30,37.5402,137.3053,263761,974,20,285.9,10.858,16.66
2023-05-02,01:45,37.5402,137.3053,273155,974,21,288.6,10.95,16.64
2023-05-02,02:00,37.5402,137.3053,282716,974,21,291.2,11.042,16.59
2023-05-02,02:20,37.5402,137.3053,292176,974,21,293.6,11.131,16.51
2023-05-02,02:30,37.5402,137.3053,301256,974,22,295.9,11.216,16.4
2023-05-02,02:45,37.5402,137.3053,309665,973,22,297.8,11.293,16.27
2023-05-02,3:00,37.5402,137.3053,317140,973,23,299.6,11.359,16.17
2023-05-02,3:20,37.5402,137.3053,323449,972,24,301.0,11.415,15.97
2023-05-02,3:30,37.5402,137.3053,328419,972,24,302.1,11.458,15.75
2023-05-02,3:45,37.5402,137.3053,331939,971,25,302.8,11.488,15.54
2023-05-02,04:00,37.5402,137.3053,333979,971,26,303.2,11.507,15.34
2023-05-02,04:20,37.5402,137.3053,334570,970,26,303.3,11.515,15.16
2023-05-02,4:30,37.5402,137.3053,333811,969,27,303.1,11.513,15.01
2023-05-02,04:45,37.5402,137.3053,331838,969,28,302.6,11.502,14.9
2023-05-02,5:00,37.5402,137.3053,328825,968,28,301.8,11.485,14.83
2023-05-02,5:20,37.5402,137.3053,324955,967,29,300.8,11.461,14.78
2023-05-02,5:30,37.5402,137.3053,320416,967,30,299.6,11.432,14.66
2023-05-02,5:45,37.5402,137.3053,315383,966,30,298.4,11.398,14.64
2023-05-02,06:00,37.5402,137.3053,310011,966,31,297.0,11.358,14.61
2023-05-02,06:20,37.5402,137.3053,304441,965,31,295.6,11.312,14.57
2023-05-02,06:30,37.5402,137.3053,298781,965,31,294.2,11.259,14.5
2023-05-02,06:45,37.5402,137.3053,293132,964,32,293.0,11.197,14.38
2023-05-02,07:00,37.5402,137.3053,287569,964,32,291.8,11.125,14.2
2023-05-02,07:20,37.5402,137.3053,282165,964,32,290.8,11.042,13.95
2023-05-02,07:30,37.5402,137.3053,276978,964,32,290.1,10.947,13.61
2023-05-02,07:45,37.5402,137.3053,272071,964,32,289.6,10.84,13.2
2023-05-02,08:00,37.5402,137.3053,267513,964,32,289.4,10.721,12.7
2023-05-02,08:20,37.5402,137.3053,263362,964,32,289.6,10.592,12.13
2023-05-02,08:30,37.5402,137.3053,259699,964,31,290.0,10.454,11.48
2023-05-02,08:45,37.5402,137.3053,256605,964,31,290.8,10.31,10.78
2023-05-02,09:00,37.5402,137.3053,254166,964,31,292.0,10.163,10.04
2023-05-02,09:20,37.5402,137.3053,252479,964,31,293.5,10.016,9.27
2023-05-02,09:30,37.5402,137.3053,251635,964,31,295.4,9.873,8.5
2023-05-02,09:45,37.5402,137.3053,251732,963,30,297.6,9.738,7.75
2023-05-02,10:00,37.5402,137.3053,252850,963,30,300.1,9.613,7.05
2023-05-02,10:20,37.5402,137.3053,255060,963,30,302.9,9.5,6.37
2023-05-02,10:30,37.5402,137.3053,258405,962,30,305.9,9.401,5.77
2023-05-02,10:45,37.5402,137.3053,262894,961,31,309.1,9.317,5.15
2023-05-02,11:00,37.5402,137.3053,268493,960,31,312.6,9.247,4.79
2023-05-02,11:20,37.5402,137.3053,275117,959,32,316.1,9.19,4.39
2023-05-02,11:30,37.5402,137.3053,282624,957,32,319.7,9.143,4.03
2023-05-02,11:45,37.5402,137.3053,290819,956,33,323.4,9.104,3.71
2023-05-02,12:00,37.5402,137.3053,299459,954,34,327.1,9.07,3.43
2023-05-02,12:20,37.5402,137.3053,308265,953,34,330.7,9.038,3.17
2023-05-02,12:30,37.5402,137.3053,316938,952,35,334.3,9.005,2.93
2023-05-02,12:45,37.5402,137.3053,325183,950,36,337.7,8.97,2.7
2023-05-02,13:00,37.5402,137.3053,332721,949,36,341.0,8.929,2.5
2023-05-02,13:20,37.5402,137.3053,339310,948,36,344.0,8.882,2.3
2023-05-02,13:30,37.5402,137.3053,344758,947,36,346.9,8.829,2.12
2023-05-02,13:45,37.5402,137.3053,348918,947,35,349.4,8.771,1.96
2023-05-02,14:00,37.5402,137.3053,351690,946,35,351.6,8.706,1.81
2023-05-02,14:20,37.5402,137.3053,353015,946,34,353.5,8.637,1.67
2023-05-02,14:30,37.5402,137.3053,352853,946,33,355.1,8.564,1.54
2023-05-02,14:45,37.5402,137.3053,351187,945,32,356.2,8.486,1.43
2023-05-02,15:00,37.5402,137.3053,347645,945,31,357.0,8.405,1.34
2023-05-02,15:20,37.5402,137.3053,342454,945,30,357.3,8.319,1.26
2023-05-02,15:30,37.5402,137.3053,335691,945,29,357.2,8.228,1.2
2023-05-02,15:45,37.5402,137.3053,327363,944,29,356.7,8.131,1.17
2023-05-02,16:00,37.5402,137.3053,317509,944,28,355.8,8.026,1.15
2023-05-02,16:20,37.5402,137.3053,306231,944,28,354.4,7.914,1.16
2023-05-02,16:30,37.5402,137.3053,293709,944,28,352.6,7.794,1.19
2023-05-02,16:45,37.5402,137.3053,280206,944,28,350.4,7.668,1.25
2023-05-02,17:00,37.5402,137.3053,266061,945,28,347.8,7.537,1.33
2023-05-02,17:20,37.5402,137.3053,251678,945,28,344.8,7.405,1.45
2023-05-02,17:30,37.5402,137.3053,237494,946,28,341.4,7.277,1.59
2023-05-02,17:45,37.5402,137.3053,223947,947,27,337.7,7.159,1.77
2023-05-02,18:00,37.5402,137.3053,211439,948,27,333.8,7.057,1.98
2023-05-02,18:20,37.5402,137.3053,200308,949,27,329.5,6.978,2.22
2023-05-02,18:30,37.5402,137.3053,190802,951,26,325.1,6.929,2.5
2023-05-02,18:45,37.5402,137.3053,183081,952,26,320.5,6.915,2.82
2023-05-02,19:00,37.5402,137.3053,177197,954,25,315.8,6.942,3.21
2023-05-02,19:20,37.5402,137.3053,173116,956,24,311.0,7.012,3.65
2023-05-02,19:30,37.5402,137.3053,170723,958,24,306.2,7.126,4.17
2023-05-02,19:45,37.5402,137.3053,169838,960,23,301.5,7.283,4.77
2023-05-02,20:00,37.5402,137.3053,170239,961,22,296.8,7.477,5.44
2023-05-02,20:20,37.5402,137.3053,171674,963,22,292.4,7.705,6.16
2023-05-02,20:30,37.5402,137.3053,173885,964,21,288.1,7.957,6.96
2023-05-02,20:45,37.5402,137.3053,176627,966,21,284.2,8.225,7.81
2023-05-02,21:00,37.5402,137.3053,179686,967,21,280.5,8.5,8.71
2023-05-02,21:20,37.5402,137.3053,182881,968,21,277.2,8.773,9.62
